ra,dec,mag_nuv,mag_fuv,Bmag,Vmag,rmag,imag,Jmag,Hmag,Kmag,Av,e_bv,d,mag_fuv
272.8140756,0.409158425,21.52951431,22.54264641,,,,,16.555,16.078,15.666,0.3,0.594808638,415,22.54264641
272.8703718,0.263556195,21.60745049,99,16.298,15.008,14.514,13.988,12.388,11.789,11.648,0.3,0.571427464,415,---
274.395351,0.735136063,20.70812225,21.85238647,17.047,14.873,13.842,12.262,9.439,8.268,7.931,0.3,0.950969577,415,21.85238647
273.7009287,0.673821448,21.58761406,22.71360016,,,,,15.152,14.363,14.166,0.3,0.725852013,415,22.71360016
274.1232518,0.645091533,21.83810806,23.41621017,,,,,16.806,16.211,15.773,0.3,0.765728056,415,23.41621017
273.899265,0.587335442,21.13165283,21.97490883,,,,,14.33,13.919,13.715,0.3,0.757672489,415,21.97490883
273.7968335,0.561225387,21.35394287,21.84803581,13.346,11.926,11.373,10.788,9.137,8.48,8.334,0.3,0.698919952,415,21.84803581
270.2997365,-0.523279771,21.75683022,24.60125542,14.982,13.556,13.059,12.515,10.899,10.296,10.11,0.3,0.481540054,415,24.60125542
270.4851674,-0.544557587,21.61793327,99,,,,,13.488,12.794,12.673,0.3,0.552240193,415,---
270.8652883,-0.569853569,21.73348999,99,,,,,16.798,16.303,16.012,0.3,0.515790284,415,---
270.914995,-0.627332706,19.86670303,20.63602448,16.052,15.206,14.863,14.207,14.412,11.927,11.722,0.3,0.489699006,415,20.63602448
274.924974,-0.063199296,21.71658134,23.7799015,13.757,12.009,11.324,10.478,8.617,7.962,7.748,0.3,1.013823271,415,23.7799015
274.5445928,-0.231099207,21.51159286,24.84186554,,,,,15.686,15.126,14.769,0.3,0.852751613,415,24.84186554
270.9732047,-1.466065829,21.66344833,25.55700874,,,,,12.587,12.013,11.874,0.3,0.710563719,415,25.55700874
271.2498365,-1.55584561,20.74825096,21.05795479,,,,,16.775,15.292,15.112,0.3,1.013405085,415,21.05795479
271.5364243,-1.590458983,21.34957695,99,,,,,13.12,12.29,12.084,0.3,1.341668844,415,---
271.3597709,-1.628904884,21.34036446,23.99711609,14.274,12.88,12.328,11.731,10.011,9.375,9.215,0.3,1.317883134,415,23.99711609
271.5573049,-1.953384489,21.98967934,99,,,,,14.399,13.68,13.398,0.3,1.423936605,415,---
271.7298386,-0.257903501,21.07169724,23.42506599,13.524,11.985,11.42,10.784,9.028,8.396,8.185,0.3,0.501028895,415,23.42506599
272.5789785,0.566395573,20.39219093,19.18925667,,,,,13.338,12.675,12.464,0.3,0.526864111,415,19.18925667
272.6327437,0.487332985,21.8511734,23.25198746,,,,,14.664,12.963,13.953,0.3,0.553701222,415,23.25198746
272.4749261,0.582321025,19.8572216,23.59144783,12.198,10.892,10.424,9.881,8.409,7.875,7.667,0.3,0.537769437,415,23.59144783
272.6272045,0.539729697,20.84133148,19.6988945,16.747,15.111,14.422,13.759,11.973,11.306,11.026,0.3,0.523794353,415,19.6988945
274.6110929,-0.593563393,21.81720543,22.99966431,16.041,14.777,14.189,13.645,11.972,11.536,11.318,0.3,0.912931502,415,22.99966431
275.2129163,1.960102443,20.46506882,23.37513542,12.566,11.203,10.723,10.177,8.663,8.144,7.917,0.3,0.767226279,415,23.37513542
270.906538,-0.682060111,21.72250366,26.34711075,,,,,16.775,15.841,15.012,0.3,0.473766208,415,26.34711075
270.8966113,-0.737778799,21.22838974,25.04645348,12.154,10.648,10.087,9.538,7.646,6.888,6.709,0.3,0.468883067,415,25.04645348
270.85291,-0.745275848,20.74117851,21.29742241,,,,,16.365,15.632,15.092,0.3,0.473893374,415,21.29742241
