casjobsID	objid	ra	dec	e_bv	mag_nuv	mag_fuv	pmRA	pmDE	Bmag	Vmag	rmag	imag	Jmag	Hmag	Kmag	IR	FUV-NUV	NUV-H	NUV-R	J-K	H-K
-1016829337	2.56522E+18	277.514666	0.395783132	2.41611743	21.64230347	23.64604187							13.226	12.344	11.619	1	2.003738403	9.298303467	-100	1.607	0.725
-1016829326	2.56522E+18	277.7774307	0.353549742	2.263697863	22.73434067	24.17073441							16.661	15.07	15.055		1.436393738	7.664340668	-100	1.606	0.015
-1016829324	2.56522E+18	277.7069661	0.374616743	2.404630661	20.16852951	99							15.013	13.861	13.446		-100	6.30752951	-100	1.567	0.415
-1016829281	2.56522E+18	277.4172422	0.253453568	2.577321291	22.52510834	22.58375549							15.389	14.785	14.159	1	0.058647156	7.740108337	-100	1.23	0.626
-1016868058	6.37545E+18	273.7061359	1.066831267	0.760172367	21.73820496	23.34248161							16.088	15.481	15.384		1.604276657	6.257204956	-100	0.704	0.097
-1016868036	6.37545E+18	274.0008181	1.001603036	0.852567554	21.63891029	26.12227249	-2.3	3.2					13.027	12.526	12.29		4.483362198	9.112910294		0.737	0.236
-1016865719	6.37545E+18	270.1851868	-1.420468857	0.614081979	21.78273392	23.47341156							16.675	16.669	16.102		1.690677643	5.113733917	-100	0.573	0.567
-1016868331	6.37545E+18	271.1918035	-1.136065052	0.669139147	21.69779587	22.52863121							16.105	15.409	14.981		0.830835342	6.288795868	-100	1.124	0.428
-1016868320	6.37545E+18	270.9758029	-1.1545829	0.595725477	20.26200676	25.37615967	-0.8	2.4	14.845	13.751	13.347	12.822	11.445	10.902	10.493		5.114152908	9.36000676	6.91500676	0.952	0.409
-1016868960	6.37545E+18	270.7329077	-0.283634596	0.443258792	21.20869064	99	-15.4	-26.9	15.491	14.501	14.105	13.803	12.952	11.945	11.816		-100	9.263690643	7.103690643	1.136	0.129
-1016868937	6.37545E+18	270.9690578	-0.292441493	0.413244188	18.62286186	19.77729988							14.989	14.406	14.165		1.154438019	4.216861862	-100	0.824	0.241
-1016868932	6.37545E+18	270.7892012	-0.305359543	0.439949542	22.1494503	99							13.692	13.085	12.787		-100	9.064450302	-100	0.905	0.298
-1016868925	6.37545E+18	270.5678417	-0.309659047	0.454076052	21.88020515	22.83234787	-1.1	1	17.12	16.054	15.939	16.004	14.158	13.832	13.613		0.952142715	8.048205154	5.941205154	0.545	0.219
-1016871151	6.37545E+18	272.4890496	1.128878073	0.543109119	20.50923157	23.93239212	-3.8	-0.7	14.241	12.935	12.409	11.799	10.195	9.632	9.412		3.423160553	10.87723157	8.100231567	0.783	0.22
-1016871100	6.37545E+18	272.4329624	1.006872111	0.570263267	21.69966125	22.33564949	5.3	-5.4	17.503	16.291	15.833	15.376	13.952	13.519	13.315		0.635988235	8.180661255	5.866661255	0.637	0.204
-1016871124	6.37545E+18	272.9902296	1.055870651	0.8000772	21.47934532	22.9899044	-4.1	-6.2	15.73	13.543	12.677	11.615	9.351	8.436	8.101		1.510559082	13.04334532	8.802345322	1.25	0.335
-1016871122	6.37545E+18	272.7873681	1.06749084	0.766819537	21.51065445	24.01818085	0.1	-5	13.721	12.105	11.469	10.703	8.915	8.245	7.993		2.507526398	13.26565445	10.04165445	0.922	0.252
-1016870949	6.37545E+18	273.1600853	0.667633478	0.752583563	18.82971954	22.96008873	-1.4	-0.6	13.7	12.868	12.589	12.318	11.055	10.908	10.687		4.130369186	7.921719543	6.240719543	0.368	0.221
